origin_name,destination_name
Guildford,Gatwick Airport
Gatwick Airport,Haywards Heath
Haywards Heath,Burgess Hill
Burgess Hill,Brighton
Brighton,Gatwick Airport
Gatwick Airport,Guildford
Guildford,Portsmouth & Southsea
Portsmouth & Southsea,Havant
Havant,Brighton
Brighton,Havant
Havant,Portsmouth & Southsea
Portsmouth & Southsea,London Waterloo
Waterloo,Marylebone
Marylebone,Oxford Circus
Oxford Circus,Bank
Bank,Cutty Sark
Cutty Sark,Canary Wharf
Canary Wharf,London Liverpool Street
Liverpool Street,Baker Street
Baker Street,Marylebone
Marylebone,Paddington
London Paddington,Farringdon
Farringdon,London Bridge
London Bridge,London Charing Cross
London Charing Cross,London Waterloo East
London Waterloo,Portsmouth & Southsea
Portsmouth & Southsea,Southampton Central
Southampton Central,Birmingham New Street
Birmingham New Street,Kings Norton
Birmingham New Street,Kings Norton
Kings Norton,Birmingham New Street
Birmingham New Street,Wolverhampton
Wolverhampton Station,The Royal
The Royal,Pipers Row
Wolverhampton,Birmingham New Street
Birmingham New Street,Canley
Canley,Birmingham New Street
Birmingham New Street,University
University,Kings Norton
Kings Norton,Birmingham New Street
Birmingham Moor Street,High Wycombe
High Wycombe,London Marylebone
Marylebone,Oxford Circus
Oxford Circus,Victoria
London Victoria,Havant
Havant,Portsmouth & Southsea
Portsmouth & Southsea,Bedhampton
Havant,Portsmouth & Southsea
Portsmouth & Southsea,Barnham
Barnham,Billingshurst
Billingshurst,Arundel
Arundel,Pulborough
Pulborough,Horsham
Horsham,Dorking
Dorking,Clapham Junction
Clapham Junction,Burgess Hill
Burgess Hill,Hove
Hove,Portsmouth & Southsea
Portsmouth & Southsea,Horsham
Horsham,Crawley
Burgess Hill,Brighton
Brighton,Portsmouth & Southsea
Fratton,Portsmouth Harbour
Fratton,Portsmouth & Southsea
Portsmouth & Southsea,London Waterloo
Waterloo,Marylebone
London Marylebone,Birmingham Moor Street
Birmingham New Street,Kings Norton
Kings Norton,Birmingham New Street
Birmingham New Street,Kings Norton
Kings Norton,Birmingham New Street
Birmingham New Street,University
University,Kings Norton
Kings Norton,Birmingham New Street
Birmingham New Street,Kings Norton
Kings Norton,Birmingham New Street
Birmingham Moor Street,London Marylebone
Marylebone,Oxford Circus
Oxford Circus,Victoria
London Victoria,Horsham
Horsham,Portsmouth & Southsea
Portsmouth & Southsea,Barnham
Barnham,Bognor Regis
Bognor Regis,Barnham
Barnham,Havant
Havant,Portsmouth & Southsea
